Date,AverageTemperature,AverageHumidity
2020-01-01T00:00:00Z,9.25,0.93
2020-01-01T00:30:00Z,9.25,0.93
2020-01-01T01:00:00Z,9.27,0.94
2020-01-01T01:30:00Z,9.27,0.94
2020-01-01T02:00:00Z,9.17,0.96
2020-01-01T02:30:00Z,9.17,0.96
2020-01-01T03:00:00Z,9,0.97
2020-01-01T03:30:00Z,9,0.97
2020-01-01T04:00:00Z,8.96,0.97
2020-01-01T04:30:00Z,8.96,0.97
2020-01-01T05:00:00Z,8.85,0.98
2020-01-01T05:30:00Z,8.85,0.98
2020-01-01T06:00:00Z,8.41,0.98
2020-01-01T06:30:00Z,8.41,0.98
2020-01-01T07:00:00Z,7.7,0.99
2020-01-01T07:30:00Z,7.7,0.99
2020-01-01T08:00:00Z,6.97,0.99
2020-01-01T08:30:00Z,6.97,0.99
2020-01-01T09:00:00Z,6.47,0.98
2020-01-01T09:30:00Z,6.47,0.98
2020-01-01T10:00:00Z,6.36,0.94
2020-01-01T10:30:00Z,6.36,0.94
2020-01-01T11:00:00Z,6.36,0.87
2020-01-01T11:30:00Z,6.36,0.87
2020-01-01T12:00:00Z,6.8,0.78
2020-01-01T12:30:00Z,6.8,0.78
2020-01-01T13:00:00Z,6.71,0.76
2020-01-01T13:30:00Z,6.71,0.76
2020-01-01T14:00:00Z,6.45,0.76
2020-01-01T14:30:00Z,6.45,0.76
2020-01-01T15:00:00Z,5.97,0.78
2020-01-01T15:30:00Z,5.97,0.78
2020-01-01T16:00:00Z,5.29,0.8
2020-01-01T16:30:00Z,5.29,0.8
2020-01-01T17:00:00Z,4.61,0.82
2020-01-01T17:30:00Z,4.61,0.82
2020-01-01T18:00:00Z,3.98,0.82
2020-01-01T18:30:00Z,3.98,0.82
2020-01-01T19:00:00Z,3.75,0.82
2020-01-01T19:30:00Z,3.75,0.82
2020-01-01T20:00:00Z,3.4,0.81
2020-01-01T20:30:00Z,3.4,0.81
2020-01-01T21:00:00Z,3.03,0.81
2020-01-01T21:30:00Z,3.03,0.81
2020-01-01T22:00:00Z,2.65,0.8
2020-01-01T22:30:00Z,2.65,0.8
2020-01-01T23:00:00Z,2.25,0.81
2020-01-01T23:30:00Z,2.25,0.81
2020-01-02T00:00:00Z,2.46,0.73
2020-01-02T00:30:00Z,2.46,0.73
2020-01-02T01:00:00Z,1.9,0.75
2020-01-02T01:30:00Z,1.9,0.75
2020-01-02T02:00:00Z,1.22,0.79
2020-01-02T02:30:00Z,1.22,0.79
2020-01-02T03:00:00Z,0.52,0.82
2020-01-02T03:30:00Z,0.52,0.82
2020-01-02T04:00:00Z,-0.06,0.84
2020-01-02T04:30:00Z,-0.06,0.84
2020-01-02T05:00:00Z,-0.22,0.85
2020-01-02T05:30:00Z,-0.22,0.85
2020-01-02T06:00:00Z,-0.26,0.87
2020-01-02T06:30:00Z,-0.26,0.87
2020-01-02T07:00:00Z,-0.51,0.89
2020-01-02T07:30:00Z,-0.51,0.89
2020-01-02T08:00:00Z,-0.72,0.9
2020-01-02T08:30:00Z,-0.72,0.9
2020-01-02T09:00:00Z,-0.45,0.89
2020-01-02T09:30:00Z,-0.45,0.89
2020-01-02T10:00:00Z,0.55,0.84
2020-01-02T10:30:00Z,0.55,0.84
2020-01-02T11:00:00Z,1.97,0.77
2020-01-02T11:30:00Z,1.97,0.77
2020-01-02T12:00:00Z,3.58,0.75
2020-01-02T12:30:00Z,3.58,0.75
2020-01-02T13:00:00Z,4.08,0.74
2020-01-02T13:30:00Z,4.08,0.74
2020-01-02T14:00:00Z,3.85,0.76
2020-01-02T14:30:00Z,3.85,0.76
2020-01-02T15:00:00Z,3.2,0.79
2020-01-02T15:30:00Z,3.2,0.79
2020-01-02T16:00:00Z,2.15,0.85
2020-01-02T16:30:00Z,2.15,0.85
2020-01-02T17:00:00Z,0.98,0.9
2020-01-02T17:30:00Z,0.98,0.9
2020-01-02T18:00:00Z,0.05,0.93
2020-01-02T18:30:00Z,0.05,0.93
2020-01-02T19:00:00Z,-0.11,0.94
2020-01-02T19:30:00Z,-0.11,0.94
2020-01-02T20:00:00Z,-0.07,0.93
2020-01-02T20:30:00Z,-0.07,0.93
2020-01-02T21:00:00Z,-0.23,0.92
2020-01-02T21:30:00Z,-0.23,0.92
2020-01-02T22:00:00Z,-0.42,0.92
2020-01-02T22:30:00Z,-0.42,0.92
2020-01-02T23:00:00Z,-0.63,0.92
2020-01-02T23:30:00Z,-0.63,0.92
2020-01-03T00:00:00Z,1.77,0.9
2020-01-03T00:30:00Z,1.77,0.9
2020-01-03T01:00:00Z,1.09,0.9
2020-01-03T01:30:00Z,1.09,0.9
2020-01-03T02:00:00Z,-0.2,0.9
2020-01-03T02:30:00Z,-0.2,0.9
2020-01-03T03:00:00Z,-1.45,0.9
2020-01-03T03:30:00Z,-1.45,0.9
2020-01-03T04:00:00Z,-2.03,0.91
2020-01-03T04:30:00Z,-2.03,0.91
2020-01-03T05:00:00Z,-2.17,0.91
2020-01-03T05:30:00Z,-2.17,0.91
2020-01-03T06:00:00Z,-2.35,0.93
2020-01-03T06:30:00Z,-2.35,0.93
2020-01-03T07:00:00Z,-2.76,0.95
2020-01-03T07:30:00Z,-2.76,0.95
2020-01-03T08:00:00Z,-3.15,0.96
2020-01-03T08:30:00Z,-3.15,0.96
2020-01-03T09:00:00Z,-3.06,0.96
2020-01-03T09:30:00Z,-3.06,0.96
2020-01-03T10:00:00Z,-2.06,0.91
2020-01-03T10:30:00Z,-2.06,0.91
2020-01-03T11:00:00Z,-0.25,0.83
2020-01-03T11:30:00Z,-0.25,0.83
2020-01-03T12:00:00Z,2.03,0.79
2020-01-03T12:30:00Z,2.03,0.79
2020-01-03T13:00:00Z,2.7,0.77
2020-01-03T13:30:00Z,2.7,0.77
2020-01-03T14:00:00Z,2.56,0.79
2020-01-03T14:30:00Z,2.56,0.79
2020-01-03T15:00:00Z,1.39,0.87
2020-01-03T15:30:00Z,1.39,0.87
2020-01-03T16:00:00Z,0.64,0.9
2020-01-03T16:30:00Z,0.64,0.9
2020-01-03T17:00:00Z,-0.43,0.94
2020-01-03T17:30:00Z,-0.43,0.94
2020-01-03T18:00:00Z,-1.33,0.96
2020-01-03T18:30:00Z,-1.33,0.96
2020-01-03T19:00:00Z,-1.62,0.96
2020-01-03T19:30:00Z,-1.62,0.96
2020-01-03T20:00:00Z,-1.55,0.95
2020-01-03T20:30:00Z,-1.55,0.95
2020-01-03T21:00:00Z,-1.66,0.94
2020-01-03T21:30:00Z,-1.66,0.94
2020-01-03T22:00:00Z,-1.78,0.93
2020-01-03T22:30:00Z,-1.78,0.93
2020-01-03T23:00:00Z,-1.9,0.92
2020-01-03T23:30:00Z,-1.9,0.92
2020-01-04T00:00:00Z,1.2,0.89
2020-01-04T00:30:00Z,1.2,0.89
2020-01-04T01:00:00Z,0.16,0.9
2020-01-04T01:30:00Z,0.16,0.9
2020-01-04T02:00:00Z,-1.81,0.94
2020-01-04T02:30:00Z,-1.81,0.94
2020-01-04T03:00:00Z,-3.64,0.99
2020-01-04T03:30:00Z,-3.64,0.99
2020-01-04T04:00:00Z,-4.28,1
2020-01-04T04:30:00Z,-4.28,1
2020-01-04T05:00:00Z,-4.3,1
2020-01-04T05:30:00Z,-4.3,1
2020-01-04T06:00:00Z,-4.13,1
2020-01-04T06:30:00Z,-4.13,1
2020-01-04T07:00:00Z,-4.14,1
2020-01-04T07:30:00Z,-4.14,1
2020-01-04T08:00:00Z,-4.18,1
2020-01-04T08:30:00Z,-4.18,1
2020-01-04T09:00:00Z,-3.93,1
2020-01-04T09:30:00Z,-3.93,1
2020-01-04T10:00:00Z,-2.67,1
2020-01-04T10:30:00Z,-2.67,1
2020-01-04T11:00:00Z,-0.81,0.99
2020-01-04T11:30:00Z,-0.81,0.99
2020-01-04T12:00:00Z,2.51,0.92
2020-01-04T12:30:00Z,2.51,0.92
2020-01-04T13:00:00Z,3.19,0.91
2020-01-04T13:30:00Z,3.19,0.91
2020-01-04T14:00:00Z,3.03,0.93
2020-01-04T14:30:00Z,3.03,0.93
2020-01-04T15:00:00Z,2.52,0.96
2020-01-04T15:30:00Z,2.52,0.96
2020-01-04T16:00:00Z,1.63,0.99
2020-01-04T16:30:00Z,1.63,0.99
2020-01-04T17:00:00Z,0.66,1
2020-01-04T17:30:00Z,0.66,1
2020-01-04T18:00:00Z,-0.35,1
2020-01-04T18:30:00Z,-0.35,1
2020-01-04T19:00:00Z,-0.58,1
2020-01-04T19:30:00Z,-0.58,1
2020-01-04T20:00:00Z,-0.6,1
2020-01-04T20:30:00Z,-0.6,1
2020-01-04T21:00:00Z,-0.7,1
2020-01-04T21:30:00Z,-0.7,1
2020-01-04T22:00:00Z,-0.75,1
2020-01-04T22:30:00Z,-0.75,1
2020-01-04T23:00:00Z,-0.66,1
2020-01-04T23:30:00Z,-0.66,1
2020-01-05T00:00:00Z,2.72,0.88
2020-01-05T00:30:00Z,2.72,0.88
2020-01-05T01:00:00Z,1.72,0.89
2020-01-05T01:30:00Z,1.72,0.89
2020-01-05T02:00:00Z,-0.32,0.94
2020-01-05T02:30:00Z,-0.32,0.94
2020-01-05T03:00:00Z,-2.14,1
2020-01-05T03:30:00Z,-2.14,1
2020-01-05T04:00:00Z,-2.82,1
2020-01-05T04:30:00Z,-2.82,1
2020-01-05T05:00:00Z,-2.68,1
2020-01-05T05:30:00Z,-2.68,1
2020-01-05T06:00:00Z,-2.35,1
2020-01-05T06:30:00Z,-2.35,1
2020-01-05T07:00:00Z,-2.62,1
2020-01-05T07:30:00Z,-2.62,1
2020-01-05T08:00:00Z,-2.94,1
2020-01-05T08:30:00Z,-2.94,1
2020-01-05T09:00:00Z,-2.71,1
2020-01-05T09:30:00Z,-2.71,1
2020-01-05T10:00:00Z,-1.37,1
2020-01-05T10:30:00Z,-1.37,1
2020-01-05T11:00:00Z,0.75,1
2020-01-05T11:30:00Z,0.75,1
2020-01-05T12:00:00Z,3.93,0.9
2020-01-05T12:30:00Z,3.93,0.9
2020-01-05T13:00:00Z,4.55,0.91
2020-01-05T13:30:00Z,4.55,0.91
2020-01-05T14:00:00Z,4.22,0.95
2020-01-05T14:30:00Z,4.22,0.95
2020-01-05T15:00:00Z,3.11,1
2020-01-05T15:30:00Z,3.11,1
2020-01-05T16:00:00Z,2.34,1
2020-01-05T16:30:00Z,2.34,1
2020-01-05T17:00:00Z,1.27,1
2020-01-05T17:30:00Z,1.27,1
2020-01-05T18:00:00Z,0.67,1
2020-01-05T18:30:00Z,0.67,1
2020-01-05T19:00:00Z,0.46,1
2020-01-05T19:30:00Z,0.46,1
2020-01-05T20:00:00Z,0.44,1
2020-01-05T20:30:00Z,0.44,1
2020-01-05T21:00:00Z,0.24,1
2020-01-05T21:30:00Z,0.24,1
2020-01-05T22:00:00Z,0.46,1
2020-01-05T22:30:00Z,0.46,1
2020-01-05T23:00:00Z,0.94,1
2020-01-05T23:30:00Z,0.94,1
2020-01-06T00:00:00Z,4.88,0.97
2020-01-06T00:30:00Z,4.88,0.97
2020-01-06T01:00:00Z,4.54,0.99
2020-01-06T01:30:00Z,4.54,0.99
2020-01-06T02:00:00Z,3.56,1
2020-01-06T02:30:00Z,3.56,1
2020-01-06T03:00:00Z,2.71,1
2020-01-06T03:30:00Z,2.71,1
2020-01-06T04:00:00Z,2.35,1
2020-01-06T04:30:00Z,2.35,1
2020-01-06T05:00:00Z,2.61,1
2020-01-06T05:30:00Z,2.61,1
2020-01-06T06:00:00Z,3.29,1
2020-01-06T06:30:00Z,3.29,1
2020-01-06T07:00:00Z,3.33,1
2020-01-06T07:30:00Z,3.33,1
2020-01-06T08:00:00Z,3.36,1
2020-01-06T08:30:00Z,3.36,1
2020-01-06T09:00:00Z,3.66,1
2020-01-06T09:30:00Z,3.66,1
2020-01-06T10:00:00Z,4.48,1
2020-01-06T10:30:00Z,4.48,1
2020-01-06T11:00:00Z,5.54,0.99
2020-01-06T11:30:00Z,5.54,0.99
2020-01-06T12:00:00Z,7.98,0.91
2020-01-06T12:30:00Z,7.98,0.91
2020-01-06T13:00:00Z,8.4,0.9
2020-01-06T13:30:00Z,8.4,0.9
2020-01-06T14:00:00Z,8.11,0.93
2020-01-06T14:30:00Z,8.11,0.93
2020-01-06T15:00:00Z,7.01,0.99
2020-01-06T15:30:00Z,7.01,0.99
2020-01-06T16:00:00Z,6.53,1
2020-01-06T16:30:00Z,6.53,1
2020-01-06T17:00:00Z,5.82,1
2020-01-06T17:30:00Z,5.82,1
2020-01-06T18:00:00Z,5.54,1
2020-01-06T18:30:00Z,5.54,1
2020-01-06T19:00:00Z,5.66,1
2020-01-06T19:30:00Z,5.66,1
2020-01-06T20:00:00Z,5.65,1
2020-01-06T20:30:00Z,5.65,1
2020-01-06T21:00:00Z,5.59,1
2020-01-06T21:30:00Z,5.59,1
2020-01-06T22:00:00Z,5.56,1
2020-01-06T22:30:00Z,5.56,1
2020-01-06T23:00:00Z,5.47,1
2020-01-06T23:30:00Z,5.47,1
2020-01-07T00:00:00Z,7.85,0.99
2020-01-07T00:30:00Z,7.85,0.99
2020-01-07T01:00:00Z,7.61,1
2020-01-07T01:30:00Z,7.61,1
2020-01-07T02:00:00Z,6.88,1
2020-01-07T02:30:00Z,6.88,1
2020-01-07T03:00:00Z,6.32,1
2020-01-07T03:30:00Z,6.32,1
2020-01-07T04:00:00Z,6.05,1
2020-01-07T04:30:00Z,6.05,1
2020-01-07T05:00:00Z,6.13,1
2020-01-07T05:30:00Z,6.13,1
2020-01-07T06:00:00Z,6.5,1
2020-01-07T06:30:00Z,6.5,1
2020-01-07T07:00:00Z,6.92,1
2020-01-07T07:30:00Z,6.92,1
2020-01-07T08:00:00Z,7.41,1
2020-01-07T08:30:00Z,7.41,1
2020-01-07T09:00:00Z,7.84,1
2020-01-07T09:30:00Z,7.84,1
2020-01-07T10:00:00Z,8.44,0.99
2020-01-07T10:30:00Z,8.44,0.99
2020-01-07T11:00:00Z,8.96,0.96
2020-01-07T11:30:00Z,8.96,0.96
2020-01-07T12:00:00Z,10.43,0.88
2020-01-07T12:30:00Z,10.43,0.88
2020-01-07T13:00:00Z,10.76,0.85
2020-01-07T13:30:00Z,10.76,0.85
2020-01-07T14:00:00Z,10.72,0.85
2020-01-07T14:30:00Z,10.72,0.85
2020-01-07T15:00:00Z,9.26,0.9
2020-01-07T15:30:00Z,9.26,0.9
2020-01-07T16:00:00Z,8.98,0.86
2020-01-07T16:30:00Z,8.98,0.86
2020-01-07T17:00:00Z,8.06,0.84
2020-01-07T17:30:00Z,8.06,0.84
2020-01-07T18:00:00Z,7.27,0.83
2020-01-07T18:30:00Z,7.27,0.83
2020-01-07T19:00:00Z,7.3,0.83
2020-01-07T19:30:00Z,7.3,0.83
2020-01-07T20:00:00Z,7.48,0.82
2020-01-07T20:30:00Z,7.48,0.82
2020-01-07T21:00:00Z,6.78,0.88
2020-01-07T21:30:00Z,6.78,0.88
2020-01-07T22:00:00Z,6.48,0.9
2020-01-07T22:30:00Z,6.48,0.9
2020-01-07T23:00:00Z,7.08,0.85
2020-01-07T23:30:00Z,7.08,0.85
